 't," ""An it"
e," ""To excite to action from a state of rest; to stir"
ing," ""of Arouse"""
ut," ""To a reserved position; half round; in the opposite direction; on the opposite tack; as"
vability," ""Liability to be removed or dismissed from office."""
vable," ""Removable."""
ve," ""To move or be moved; to excite."""
w," ""A contraction of art thou."""
x," ""Braced aback."""
an," ""An oxidation product of uric acid. It is of a pale reddish color"
y," ""A feeling of discomfort or vexation caused by what one dislikes; also"
nt," ""See Aroint."""
zeen," ""Alt. of Armozine"""
zine," ""A thick plain silk"
zoid," ""Alt. of Antherozooid"""
zone," ""A compound formerly supposed to be modification of oxygen"
zooid," ""One of the mobile male reproductive bodies in the antheridia of cryptogams."""
p," ""One of several species of poplar bearing this name"
ace," ""With a quick pace; quick; fast; speedily."""
aches," ""A group of nomadic North American Indians including several tribes native of Arizona"
ae," ""of Agape"""
st," ""Alt. of Anapaestic"""
agoge," ""An indirect argument which proves a thing by showing the impossibility or absurdity of the contrary."""
agogic," ""Alt. of Apagogical"""
aid," ""Paid; pleased."""
aima," ""A large fresh-water food fish of South America."""
ains," ""The pains which succeed childbirth"
air," ""To impair or become impaired; to injure."""
alachian," ""See Appalachian."""
anage," ""Same as Appanage."""
anthropy," ""An aversion to the company of men; a love of solitude."""
apal," ""Opposed to the pope or to popery."""
ar," ""Alt. of Apara"""
allel," ""Running in a contrary direction."""
alytic," ""A medicine for paralysis."""
aschal," ""Pertaining to the time before the Passover"
ast," ""A foretaste."""
ron," ""That point in the orbit of a double star where the smaller star is farthest from its primary."""
athetic," ""Alt. of Apathetical"""
athic," ""Belonging to antipathy; opposite; contrary; allopathic."""
athies," ""of Apathy"""
athist," ""One who is destitute of feeling."""
athize," ""To feel or show antipathy."""
athous," ""Having a natural contrariety; adverse; antipathetic."""
athy," ""Want of feeling; privation of passion"
atite," ""Native phosphate of lime"
aume," ""See Appaume."""
e," ""To mimic"
ggio," ""The production of the tones of a chord in rapid succession"
lite," ""An earth abounding in pyrites"
mptic," ""Sung or addressed to one departing; valedictory; as"
n," ""Formerly"
dium," ""The hangings or screen in front of the altar; an altar cloth; the frontal."""
ny," ""Money paid by a tenant in lieu of the service of average."""
ult," ""Alt. of Antepenultima"""
ptone," ""A product of gastric and pancreatic digestion"
re," ""The unit of electric current; -- defined by the International Electrical Congress in 1893 and by U. S. Statute as"
riodic," ""A remedy possessing the property of preventing the return of periodic paroxysms"
ristaltic," ""Opposed to"
ristasis," ""Opposition by which the quality opposed asquires strength; resistance or reaction roused by opposition or by the action of an opposite principle or quality."""
ristatic," ""Pertaining to antiperistasis."""
rometer," ""An instrument for measuring the strength of an electrical current in amperes."""
rsand," ""A word used to describe the character /"
st," ""A verse composed of such feet."""
talous," ""Standing before a petal"
haeresis," ""Same as Apheresis."""
hakia," ""An anomalous state of refraction caused by the absence of the crystalline lens"
hal," ""One of the Acephala."""
haniptera," ""A group of wingless insects"
hanipterous," ""Of or pertaining to the Aphaniptera."""
hanite," ""A very compact"
hanitic," ""Resembling aphanite; having a very fine-grained structure."""
harmic," ""Antidotal; alexipharmic."""
hasia," ""Alt. of Aphasy"""
hasic," ""Pertaining to"
hasis," ""A figure by which a speaker formally declines to take notice of a favorable point"
hasy," ""Loss of the power of speech"
helia," ""of Aphelion"""
helion," ""That point of a planet's or comet's orbit which is most distant from the sun"
heliotropic," ""Turning away from the sun; -- said of leaves"
heliotropism," ""The habit of bending from the sunlight; -- said of certain plants."""
hemia," ""Loss of the power of speaking"
heresis," ""An operation by which any part is separated from the rest."""
hesis," ""The loss of a short unaccented vowel at the beginning of a word; -- the result of a phonetic process; as"
hetic," ""Shortened by dropping a letter or a syllable from the beginning of a word; as"
hetism," ""An aphetized form of a word."""
hetize," ""To shorten by aphesis."""
hi-," ""A prefix in words of Greek origin"
hialtic," ""A remedy nightmare."""
hiarthrodial," ""Characterized by amphiarthrosis."""
hiarthrosis," ""A form of articulation in which the bones are connected by intervening substance admitting slight motion; symphysis."""
hiaster," ""The achromatic figure"
hibia," ""of Amphibium"""
hibiological," ""Pertaining to amphibiology."""
hibiology," ""A treatise on amphibious animals; the department of natural history which treats of the Amphibia."""
hibiotica," ""A division of insects having aquatic larvae."""
hibious," ""Of a mixed nature; partaking of two natures."""
hibium," ""An amphibian."""
hiblastic," ""Segmenting unequally; -- said of telolecithal ova with complete segmentation."""
hibole," ""A common mineral embracing many varieties varying in color and in composition. It occurs in monoclinic crystals; also massive"
hibolic," ""Of or resembling the mineral amphibole."""
hibolies," ""of Amphiboly"""
hibological," ""Of doubtful meaning; ambiguous."""
hibologies," ""of Amphibology"""
hibology," ""A phrase"
hibolous," ""Capable of two meanings."""
hiboly," ""Ambiguous discourse; amphibology."""
hibrach," ""A foot of three syllables"
hicarpic," ""Alt. of Amphicarpous"""
hicarpous," ""Producing fruit of two kinds"
hichroic," ""Exhibiting or producing two colors"
hicoelian," ""Alt. of Amphicoelous"""
hicoelous," ""Having both ends concave; biconcave; -- said of vertebrae."""
hicome," ""A kind of figured stone"
hictyonic," ""Of or pertaining to the Amphictyons or their League or Council; as"
hictyonies," ""of Amphictyony"""
hictyons," ""Deputies from the confederated states of ancient Greece to a congress or council. They considered both political and religious matters."""
hictyony," ""A league of states of ancient Greece; esp. the celebrated confederation known as the Amphictyonic Council. Its object was to maintain the common interests of Greece."""
hid," ""One of the genus Aphis; an aphidian."""
higamous," ""Having a structure entirely cellular"
higean," ""Extending over all the zones"
higen," ""An element that in combination produces amphid salt; -- applied by Berzelius to oxygen"
higonic," ""Pertaining to amphigony; sexual; as"
higonous," ""Relating to both parents."""
higony," ""Sexual propagation."""
higoric," ""Nonsensical; absurd; pertaining to an amphigory."""
higory," ""A nonsense verse; a rigmarole"
hilanthropy," ""Want of love to mankind; -- the opposite of philanthropy."""
hilogism," ""Alt. of Amphilogy"""
hilogy," ""Ambiguity of speech; equivocation."""
himacer," ""A foot of three syllables"
hineura," ""A division of Mollusca remarkable for the bilateral symmetry of the organs and the arrangement of the nerves."""
hioxus," ""A fishlike creature (Amphioxus lanceolatus)"
hipneust," ""One of a tribe of Amphibia"
hipod," ""Alt. of Amphipodan"""
hiprostyle," ""An amphiprostyle temple or edifice."""
hirhina," ""A name applied to the elasmobranch fishes"
his," ""A genus of insects belonging to the order Hemiptera and family Aphidae"
baena," ""A genus of harmless lizards"
baenoid," ""Like or pertaining to the lizards of the genus Amphisbaena."""
cians," ""The inhabitants of the tropic"
cii," ""Alt. of Amphiscians"""
tomous," ""Having a sucker at each extremity"
tylic," ""Having the mandibular arch articulated with the hyoid arch and the cranium"
hitheater," ""Alt. of Amphitheatre"""
hitheatral," ""Amphitheatrical; resembling an amphitheater."""
hitheatre," ""Anything resembling an amphitheater in form; as"
hitheatric," ""Alt. of Amphitheatrical"""
hitomancy," ""Divination by means of barley meal."""
hitrocha," ""A kind of annelid larva having both a dorsal and a ventral circle of special cilia."""
hitropal," ""Alt. of Amphitropous"""
hitropous," ""Having the ovule inverted"
hiuma," ""A genus of amphibians"
hlegmatic," ""An apophlegmatic medicine."""
hlegmatism," ""An apophlegmatic."""
hlegmatizant," ""An apophlegmatic."""
hlogistian," ""An opposer of the theory of phlogiston."""
hlogistic," ""Flameless; as"
hon," ""A verse said before and after the psalms."""
ia," ""Alt. of Aphony"""
ic," ""Alt. of Aphonous"""
ous," ""Without voice; voiceless; nonvocal."""
y," ""Loss of voice or vocal utterance."""
hopeptone," ""A product of gastric digestion"
hora," ""A repetition of a word or of words at the beginning of two or more successive clauses."""
horic," ""Produced by"
horism," ""A comprehensive maxim or principle expressed in a few words; a sharply defined sentence relating to abstract truth rather than to practical matters."""
horist," ""A writer or utterer of aphorisms."""
horize," ""To make aphorisms."""
hoteric," ""Partly one and partly the other; neither acid nor alkaline; neutral."""
hrasis," ""The use of words in a sense opposite to their proper meaning; as when a court of justice is called a court of vengeance."""
hrastic," ""Alt. of Antiphrastical"""
hrite," ""See under Calcite."""
hrodisia," ""Absence of sexual appetite."""
c," ""That which (as a drug"
n," ""Pertaining to Aphrodite or Venus. """"""""Aphrodisian dames"""""""" [that is"
hrodite," ""A beautiful butterfly (Argunnis Aphrodite) of the United States."""
hroditic," ""Venereal."""
htha," ""The disease"
hthegm," ""A short"
hthisic," ""A medicine for phthisis."""
hthoid," ""Of the nature of aphthae; resembling thrush."""
hthong," ""A letter"
hthous," ""Pertaining to"
hus," ""A genus of trilobites found in the Lower Silurian formation. See Illust. in Append."""
hyge," ""The small hollow curvature given to the top or bottom of the shaft of a column where it expands to meet the edge of the fillet; -- called also the scape."""
hyllite," ""A mineral relating to the zeolites"
hyllous," ""Destitute of leaves"
hysical," ""Relieving flatulence; carminative."""
hysis," ""An enlargement at the top of a pedicel or stem"
hyte," ""A moss or mosslike plant which cellular stems"
iaceous," ""Umbelliferous."""
ian," ""Belonging to bees."""
iarian," ""Of or relating to bees."""
iarist," ""One who keeps an apiary."""
iary," ""A place where bees are kept; a stand or shed for bees; a beehouse."""
ical," ""At or belonging to an apex"
ices," ""See Apex."""
ician," ""Belonging to Apicius"
icular," ""Situated at"
iculate," ""Alt. of Apiculated"""
iculture," ""Rearing of bees for their honey and wax."""
idote," ""A fish without scales."""
